epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,131.308,0.44053,0.45312,0.49163,0.87163,0,0.94454,0.93113,0.91187,0.84176,0.94454,0.93113,0.91187,0.86386,0.53112,0.42188,0.53158,0.8962,0,0.000792125,0.000792125,0.000792125
39,134.686,0.45927,0.47297,0.51477,0.8855,0,0.95563,0.82788,0.80357,0.74762,0.95563,0.82788,0.80357,0.77822,0.52621,0.40563,0.62123,0.90344,0,0.00077975,0.00077975,0.00077975
40,138.112,0.41524,0.52379,0.43948,0.88631,0,0.9625,0.88558,0.86886,0.79638,0.9625,0.88558,0.86886,0.81895,0.51441,0.38582,0.57425,0.92022,0,0.000767375,0.000767375,0.000767375
41,141.542,0.46965,0.57151,0.51787,0.89411,0,0.95208,0.92404,0.90581,0.84779,0.95208,0.92404,0.90581,0.87026,0.48332,0.36756,0.54024,0.88982,0,0.000755,0.000755,0.000755
42,145.022,0.41849,0.45559,0.46879,0.88013,0,0.92083,0.9625,0.9366,0.87318,0.92083,0.9625,0.9366,0.8884,0.49985,0.37127,0.49512,0.89104,0,0.000742625,0.000742625,0.000742625
43,148.468,0.43668,0.43627,0.49937,0.8895,0,0.96188,0.95995,0.9359,0.87399,0.96188,0.95995,0.9359,0.89899,0.47016,0.36727,0.45869,0.89878,0,0.00073025,0.00073025,0.00073025
44,151.908,0.43104,0.48445,0.47178,0.87956,0,0.92992,0.9625,0.9384,0.87972,0.92992,0.9625,0.9384,0.89445,0.46787,0.40185,0.47908,0.89373,0,0.000717875,0.000717875,0.000717875
45,155.357,0.44861,0.48816,0.50135,0.89665,0,0.94457,0.9625,0.94114,0.87047,0.94457,0.9625,0.94114,0.89969,0.4882,0.37328,0.46474,0.89031,0,0.0007055,0.0007055,0.0007055
46,158.844,0.3956,0.40304,0.42785,0.8658,0,0.94753,0.9625,0.93406,0.86625,0.94753,0.9625,0.93406,0.88826,0.4758,0.36998,0.47597,0.88654,0,0.000693125,0.000693125,0.000693125
47,162.26,0.41818,0.45205,0.46549,0.88717,0,0.90443,0.94641,0.92938,0.84657,0.90443,0.94641,0.92938,0.87061,0.54585,0.39494,0.52685,0.93873,0,0.00068075,0.00068075,0.00068075
48,165.606,0.45284,0.47703,0.52454,0.89533,0,0.92677,0.94922,0.93384,0.85247,0.92677,0.94922,0.93384,0.88235,0.50669,0.38919,0.50887,0.92002,0,0.000668375,0.000668375,0.000668375
49,169.09,0.40671,0.47523,0.40881,0.88167,0,0.95023,0.95581,0.93509,0.88896,0.95023,0.95581,0.93509,0.89343,0.4419,0.39188,0.45907,0.87776,0,0.000656,0.000656,0.000656
50,172.526,0.42125,0.43026,0.47884,0.88895,0,0.95972,0.9625,0.93785,0.87987,0.95972,0.9625,0.93785,0.89291,0.47989,0.38157,0.48014,0.87314,0,0.000643625,0.000643625,0.000643625
51,176.022,0.41752,0.49304,0.47615,0.89244,0,0.94066,0.94759,0.93277,0.8499,0.94066,0.94759,0.93277,0.87371,0.49452,0.39559,0.48775,0.92992,0,0.00063125,0.00063125,0.00063125
52,179.542,0.43994,0.41925,0.48746,0.91217,0,0.94277,0.9625,0.92938,0.83476,0.94277,0.9625,0.92938,0.88529,0.49363,0.41453,0.46987,0.9386,0,0.000618875,0.000618875,0.000618875
53,182.996,0.39253,0.4299,0.46735,0.88299,0,0.94464,0.9625,0.93205,0.85727,0.94464,0.9625,0.93205,0.8774,0.49342,0.45603,0.44067,0.91911,0,0.0006065,0.0006065,0.0006065
54,186.462,0.39029,0.41626,0.41421,0.87699,0,0.95328,0.95959,0.92938,0.85338,0.95328,0.95959,0.92938,0.8669,0.46392,0.45637,0.45553,0.93315,0,0.000594125,0.000594125,0.000594125
55,190.004,0.40966,0.42907,0.43141,0.88229,0,0.9625,0.9625,0.93125,0.83746,0.9625,0.9625,0.93125,0.86887,0.45322,0.41906,0.44314,0.93019,0,0.00058175,0.00058175,0.00058175
56,193.541,0.38869,0.42833,0.43666,0.87431,0,0.95965,0.9625,0.92938,0.84284,0.95965,0.9625,0.92938,0.85431,0.47657,0.38658,0.46041,0.93325,0,0.000569375,0.000569375,0.000569375
57,197.025,0.35934,0.46558,0.39889,0.8636,0,0.9353,0.9625,0.92714,0.84943,0.9353,0.9625,0.92714,0.85693,0.4421,0.36968,0.4626,0.91555,0,0.000557,0.000557,0.000557
58,200.463,0.38561,0.44765,0.42857,0.88652,0,0.93945,0.95347,0.92969,0.85417,0.93945,0.95347,0.92969,0.87004,0.43372,0.36601,0.44021,0.9033,0,0.000544625,0.000544625,0.000544625
59,203.915,0.39396,0.41701,0.42833,0.87622,0,0.95333,0.9625,0.93375,0.85567,0.95333,0.9625,0.93375,0.86661,0.43608,0.32573,0.43646,0.87281,0,0.00053225,0.00053225,0.00053225
60,207.36,0.3846,0.37383,0.40208,0.87119,0,0.9625,0.9625,0.9425,0.89042,0.9625,0.9625,0.9425,0.90742,0.42527,0.32863,0.42135,0.88109,0,0.000519875,0.000519875,0.000519875
61,210.907,0.3616,0.36061,0.38682,0.86524,0,0.9625,0.9625,0.9333,0.88391,0.9625,0.9625,0.9333,0.90217,0.41404,0.35386,0.42761,0.87616,0,0.0005075,0.0005075,0.0005075
62,214.261,0.37433,0.37914,0.40624,0.86277,0,0.9625,0.9625,0.92938,0.87902,0.9625,0.9625,0.92938,0.8834,0.4262,0.36159,0.43026,0.87681,0,0.000495125,0.000495125,0.000495125
63,217.713,0.37483,0.3699,0.38461,0.86864,0,0.9625,0.9625,0.9275,0.86708,0.9625,0.9625,0.9275,0.89592,0.41138,0.348,0.42121,0.86564,0,0.00048275,0.00048275,0.00048275
64,221.076,0.36645,0.49058,0.40966,0.86223,0,0.9625,0.9625,0.92581,0.83816,0.9625,0.9625,0.92581,0.86599,0.47479,0.37617,0.46729,0.92424,0,0.000470375,0.000470375,0.000470375
65,224.503,0.36878,0.38866,0.38737,0.86886,0,0.9625,0.94327,0.90831,0.81954,0.9625,0.94327,0.90831,0.84637,0.47696,0.38384,0.42692,0.91929,0,0.000458,0.000458,0.000458
66,227.878,0.37462,0.41166,0.40012,0.86264,0,0.9625,0.94327,0.90831,0.83444,0.9625,0.94327,0.90831,0.84697,0.46446,0.36847,0.42925,0.91681,0,0.000445625,0.000445625,0.000445625
67,231.254,0.38333,0.39032,0.41902,0.87106,0,0.94327,0.94327,0.91346,0.84061,0.94327,0.94327,0.91346,0.84941,0.42018,0.35382,0.42871,0.86251,0,0.00043325,0.00043325,0.00043325
68,234.782,0.35704,0.40411,0.40087,0.87676,0,0.9522,0.9324,0.89831,0.8543,0.9522,0.9324,0.89831,0.8621,0.3828,0.33029,0.41565,0.84615,0,0.000420875,0.000420875,0.000420875
69,238.268,0.34695,0.47363,0.39016,0.85198,0,0.96109,0.9324,0.90563,0.84543,0.96109,0.9324,0.90563,0.86496,0.41639,0.33676,0.42455,0.86248,0,0.0004085,0.0004085,0.0004085
70,241.804,0.35404,0.37962,0.39333,0.85563,0,0.95081,0.94327,0.92201,0.8573,0.95081,0.94327,0.92201,0.8714,0.41193,0.34703,0.42602,0.86832,0,0.000396125,0.000396125,0.000396125
71,245.455,0.36099,0.37881,0.37074,0.86312,0,0.9625,0.9226,0.90389,0.86529,0.9625,0.9226,0.90389,0.86364,0.40461,0.36242,0.42579,0.86828,0,0.00038375,0.00038375,0.00038375
72,248.918,0.35129,0.33916,0.3879,0.86054,0,0.9625,0.94327,0.92308,0.8856,0.9625,0.94327,0.92308,0.88935,0.39125,0.35187,0.41946,0.85884,0,0.000371375,0.000371375,0.000371375
73,252.399,0.33862,0.40446,0.34734,0.85748,0,0.9625,0.9324,0.91349,0.88691,0.9625,0.9324,0.91349,0.88614,0.36177,0.3321,0.38613,0.85288,0,0.000359,0.000359,0.000359
74,255.869,0.34495,0.39153,0.36598,0.85517,0,0.9625,0.9625,0.93848,0.91177,0.9625,0.9625,0.93848,0.90844,0.34697,0.31579,0.36154,0.85653,0,0.000346625,0.000346625,0.000346625
75,259.532,0.32822,0.42348,0.37692,0.85545,0,0.9625,0.9625,0.93733,0.89987,0.9625,0.9625,0.93733,0.91486,0.37231,0.30274,0.37767,0.84829,0,0.00033425,0.00033425,0.00033425
76,262.92,0.35592,0.42243,0.36839,0.87003,0,0.9625,0.9625,0.94188,0.90806,0.9625,0.9625,0.94188,0.91605,0.36478,0.32126,0.36006,0.84208,0,0.000321875,0.000321875,0.000321875
77,266.474,0.3518,0.37355,0.37413,0.86606,0,0.9625,0.9625,0.94785,0.91262,0.9625,0.9625,0.94785,0.91708,0.361,0.32537,0.36702,0.84352,0,0.0003095,0.0003095,0.0003095
78,270.205,0.33617,0.37042,0.35402,0.86804,0,0.9625,0.96227,0.94701,0.91183,0.9625,0.96227,0.94701,0.91686,0.39249,0.32315,0.35845,0.84202,0,0.000297125,0.000297125,0.000297125
79,273.722,0.32751,0.33808,0.35627,0.85494,0,0.96155,0.9625,0.93668,0.90261,0.96155,0.9625,0.93668,0.90492,0.36992,0.31889,0.34951,0.84044,0,0.00028475,0.00028475,0.00028475
80,277.19,0.34425,0.40097,0.36782,0.86027,0,0.961,0.9625,0.93689,0.90089,0.961,0.9625,0.93689,0.9063,0.36684,0.32756,0.35308,0.84379,0,0.000272375,0.000272375,0.000272375
81,280.697,0.31249,0.33051,0.32902,0.84975,0,0.95975,0.9625,0.93689,0.89939,0.95975,0.9625,0.93689,0.89788,0.36336,0.32486,0.35063,0.84277,0,0.00026,0.00026,0.00026
